Customer_ID,Customer_Name,Customer_Segment,Gender,Age,State,City,Signup_Date,Customer_Rating
C0001,Vikram Sharma,Consumer,Male,32,Maharashtra,Mumbai,6/1/2023,3.4
C0002,Abhishek Nair,Home Office,Male,36,Karnataka,Bengaluru,2/5/2024,0
C0003,Suresh Singh,Small Business,Male,44,Delhi,Delhi,19/01/2023,2.6
C0004,Kiran Kulkarni,Corporate,Male,39,Karnataka,Bengaluru,21/03/2023,4.1
C0005,Anjali Kumar,Consumer,Female,28,Gujarat,Ahmedabad,1/3/2023,4.1
C0006,Pallavi Mishra,Consumer,Female,51,Maharashtra,Pune,10/6/2022,3.4
C0007,Aditya Sharma,Consumer,Male,41,Karnataka,Bengaluru,16/04/2025,2.7
C0008,Rahul Iyer,Small Business,Male,37,Andhra Pradesh,Vijayawada,21/09/2023,3.5
C0009,Suresh Menon,Corporate,Male,43,Karnataka,Bengaluru,13/06/2024,3.3
C0010,Tanvi Sharma,Small Business,Female,57,Maharashtra,Pune,5/5/2023,4.2
C0011,Bhavya Iyer,Consumer,Female,36,Kerala,Kochi,13/10/2024,4
C0012,Anjali Mishra,Home Office,Female,26,Andhra Pradesh,Vijayawada,23/11/2022,3.4
C0013,Suresh Kapoor,Small Business,Male,28,Karnataka,Bengaluru,21/08/2023,3
C0014,Pallavi Verma,Consumer,Female,45,Tamil Nadu,Chennai,11/10/2024,5
C0015,Aarav Gowda,Consumer,Male,38,Tamil Nadu,Chennai,16/10/2022,3.6
C0016,Nikhil Pillai,Consumer,Male,45,Karnataka,Bengaluru,16/08/2023,4.2
C0017,Shreya Joshi,Consumer,Female,32,Kerala,Kochi,27/07/2023,2.9
C0018,Abhishek Singh,Corporate,Male,35,Delhi,Delhi,9/10/2025,3.7
C0019,Harish Gowda,Consumer,Male,46,Maharashtra,Mumbai,28/01/2022,2.6
C0020,Sneha Patel,Consumer,Female,61,Tamil Nadu,Chennai,11/8/2024,3.8
C0021,Rahul Das,Corporate,Male,65,Delhi,Delhi,12/2/2022,4.9
C0022,Kiran Gupta,Consumer,Male,46,Karnataka,Bengaluru,27/02/2023,3.5
C0023,Pooja Chowdhury,Consumer,Female,52,Gujarat,Ahmedabad,26/06/2022,2.6
C0024,Ravi Choudhary,Consumer,Male,30,Delhi,Delhi,13/06/2023,2.6
C0025,Aditya Shetty,Consumer,Male,36,Andhra Pradesh,Vijayawada,23/08/2024,3.5
C0026,Nandini Bhat,Small Business,Female,27,Telangana,Hyderabad,17/07/2022,2.9
C0027,Vikram Malhotra,Consumer,Male,37,Tamil Nadu,Chennai,2/9/2023,2.6
C0028,Divya Kumar,Corporate,Female,43,Karnataka,Bengaluru,21/04/2024,4.4
C0029,Bhavya Mehta,Corporate,Female,46,Gujarat,Ahmedabad,2/5/2024,3.6
C0030,Riya Yadav,Consumer,Female,41,Maharashtra,Mumbai,22/01/2022,3.2
C0031,Kavya Naidu,Corporate,Female,42,Gujarat,Ahmedabad,9/2/2025,4.8
C0032,Varun Pillai,Consumer,Male,27,Kerala,Kochi,16/12/2024,2.8
C0033,Rohan Reddy,Consumer,Male,34,Andhra Pradesh,Vijayawada,25/12/2024,4.9
C0034,Suresh Gowda,Home Office,Male,35,Karnataka,Bengaluru,21/04/2024,3.3
C0035,Ananya Kumar,Home Office,Female,27,Maharashtra,Pune,8/4/2022,4.7
C0036,Suresh Jain,Small Business,Male,29,Kerala,Kochi,13/03/2025,4
C0037,Kiran Das,Consumer,Male,28,Kerala,Kochi,11/3/2023,4.6
C0038,Abhishek Kapoor,Consumer,Male,43,Karnataka,Bengaluru,29/09/2023,5
C0039,Kavya Rao,Corporate,Female,49,Andhra Pradesh,Vijayawada,14/01/2025,3.2
C0040,Kavya Gupta,Consumer,Female,38,Delhi,Delhi,11/8/2023,4.9
C0041,Harish Kulkarni,Consumer,Male,51,Delhi,Delhi,10/12/2022,3.5
C0042,Abhishek Pillai,Corporate,Male,50,Kerala,Kochi,10/8/2025,3.5
